rn,final id,id,species,site,specimen.date,wing,trial,pixel to mm2,L.R,flip?,length
15,KEB_00149,149,nomia universitalis,r,7/2/2019,1,1,0.0063,l,y,1.7872
16,KEB_00149,149,nomia universitalis,r,7/2/2019,1,2,0.0063,l,y,1.7872
17,KEB_00149,149,nomia universitalis,r,7/2/2019,2,1,0.0063,r,n,1.7872
18,KEB_00149,149,nomia universitalis,r,7/2/2019,2,2,0.0063,r,n,1.7872
19,KEB_00168,168,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.022925
20,KEB_00168,168,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.022925
21,KEB_00169,169,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.061875
22,KEB_00169,169,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.061875
23,KEB_00169,169,nomia universitalis,c,7/2/2019,2,1,0.01,r,n,2.061875
24,KEB_00169,169,nomia universitalis,c,7/2/2019,2,2,0.01,r,n,2.061875
25,KEB_00170,170,nomia universitalis,c,7/2/2019,1,1,0.01,l,y,2.2336
26,KEB_00170,170,nomia universitalis,c,7/2/2019,1,2,0.01,l,y,2.2336
27,KEB_00170,170,nomia universitalis,c,7/2/2019,2,1,0.01,r,y,2.2336
28,KEB_00170,170,nomia universitalis,c,7/2/2019,2,2,0.01,r,y,2.2336
29,KEB_00172,172,nomia universitalis,c,7/2/2019,1,1,0.013,l,n,2.2104225
30,KEB_00172,172,nomia universitalis,c,7/2/2019,1,2,0.013,l,n,2.2104225
31,KEB_00172,172,nomia universitalis,c,7/2/2019,2,1,0.013,r,n,2.2104225
32,KEB_00172,172,nomia universitalis,c,7/2/2019,2,2,0.013,r,n,2.2104225
33,KEB_00173,173,nomia universitalis,c,7/2/2019,1,1,0.013,l,y,2.2106175
34,KEB_00173,173,nomia universitalis,c,7/2/2019,1,2,0.013,l,y,2.2106175
35,KEB_00173,173,nomia universitalis,c,7/2/2019,2,1,0.013,r,y,2.2106175
36,KEB_00173,173,nomia universitalis,c,7/2/2019,2,2,0.013,r,y,2.2106175
37,KEB_00174,174,nomia universitalis,c,7/2/2019,1,1,0.016,l,y,2.211
38,KEB_00174,174,nomia universitalis,c,7/2/2019,1,2,0.016,l,y,2.211
39,KEB_00174,174,nomia universitalis,c,7/2/2019,2,1,0.016,r,n,2.211
40,KEB_00174,174,nomia universitalis,c,7/2/2019,2,2,0.016,r,n,2.211
41,KEB_00195,195,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.10105
42,KEB_00195,195,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.10105
43,KEB_00195,195,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.10105
44,KEB_00195,195,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.10105
45,KEB_00196,196,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,1.870125
46,KEB_00196,196,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,1.870125
47,KEB_00196,196,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,1.870125
48,KEB_00196,196,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,1.870125
49,KEB_00197,197,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.1968525
50,KEB_00197,197,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.1968525
51,KEB_00197,197,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.1968525
52,KEB_00197,197,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.1968525
53,KEB_00198,198,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.32492
54,KEB_00198,198,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.32492
55,KEB_00198,198,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.32492
56,KEB_00198,198,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.32492
57,KEB_00200,200,nomia universitalis,r,7/11/2019,1,1,0.0063,l,y,1.7656875
58,KEB_00200,200,nomia universitalis,r,7/11/2019,1,2,0.0063,l,y,1.7656875
59,KEB_00200,200,nomia universitalis,r,7/11/2019,2,1,0.0063,r,y,1.7656875
60,KEB_00200,200,nomia universitalis,r,7/11/2019,2,2,0.0063,r,y,1.7656875
61,KEB_00208,208,nomia universitalis,r,7/11/2019,1,1,0.0063,l,y,1.6280625
62,KEB_00208,208,nomia universitalis,r,7/11/2019,1,2,0.0063,l,y,1.6280625
63,KEB_00208,208,nomia universitalis,r,7/11/2019,2,1,0.0063,r,n,1.6280625
64,KEB_00208,208,nomia universitalis,r,7/11/2019,2,2,0.0063,r,n,1.6280625
65,KEB_00209,209,nomia universitalis,r,7/11/2019,1,1,0.013,l,n,2.1262475
66,KEB_00209,209,nomia universitalis,r,7/11/2019,1,2,0.013,l,n,2.1262475
67,KEB_00209,209,nomia universitalis,r,7/11/2019,2,1,0.013,r,n,2.1262475
68,KEB_00209,209,nomia universitalis,r,7/11/2019,2,2,0.013,r,n,2.1262475
69,KEB_00211,211,nomia universitalis,r,7/11/2019,1,1,0.01,l,y,2.0336
70,KEB_00211,211,nomia universitalis,r,7/11/2019,1,2,0.01,l,y,2.0336
71,KEB_00211,211,nomia universitalis,r,7/11/2019,2,1,0.01,r,n,2.0336
72,KEB_00211,211,nomia universitalis,r,7/11/2019,2,2,0.01,r,n,2.0336
73,KEB_00212,212,nomia universitalis,r,7/11/2019,1,1,0.013,l,y,2.217735
74,KEB_00212,212,nomia universitalis,r,7/11/2019,1,2,0.013,l,y,2.217735
75,KEB_00212,212,nomia universitalis,r,7/11/2019,2,1,0.013,r,y,2.217735
76,KEB_00212,212,nomia universitalis,r,7/11/2019,2,2,0.013,r,y,2.217735
77,KEB_00213,213,nomia universitalis,r,7/11/2019,1,1,0.013,l,y,2.2436375
78,KEB_00213,213,nomia universitalis,r,7/11/2019,1,2,0.013,l,y,2.2436375
79,KEB_00213,213,nomia universitalis,r,7/11/2019,2,1,0.013,r,n,2.2436375
80,KEB_00213,213,nomia universitalis,r,7/11/2019,2,2,0.013,r,n,2.2436375
81,KEB_00214,214,nomia universitalis,r,7/11/2019,1,1,0.013,l,y,2.1800025
82,KEB_00214,214,nomia universitalis,r,7/11/2019,1,2,0.013,l,y,2.1800025
83,KEB_00215,215,nomia universitalis,r,7/11/2019,1,1,0.013,l,n,2.2150375
84,KEB_00215,215,nomia universitalis,r,7/11/2019,1,2,0.013,l,n,2.2150375
85,KEB_00215,215,nomia universitalis,r,7/11/2019,2,1,0.013,r,n,2.2150375
86,KEB_00215,215,nomia universitalis,r,7/11/2019,2,2,0.013,r,n,2.2150375
87,KEB_00216,216,nomia universitalis,r,7/11/2019,1,1,0.013,l,y,2.117115
88,KEB_00216,216,nomia universitalis,r,7/11/2019,1,2,0.013,l,y,2.117115
89,KEB_00216,216,nomia universitalis,r,7/11/2019,2,1,0.013,r,n,2.117115
90,KEB_00216,216,nomia universitalis,r,7/11/2019,2,2,0.013,r,n,2.117115
103,KEB_00267,267,nomia universitalis,r,7/12/2019,2,1,0.01,r,n,1.98665
104,KEB_00267,267,nomia universitalis,r,7/12/2019,2,2,0.01,r,n,1.98665
105,KEB_00268,268,nomia universitalis,r,7/12/2019,1,1,0.013,l,n,2.0191925
106,KEB_00268,268,nomia universitalis,r,7/12/2019,1,2,0.013,l,n,2.0191925
107,KEB_00268,268,nomia universitalis,r,7/12/2019,2,1,0.013,r,y,2.0191925
108,KEB_00268,268,nomia universitalis,r,7/12/2019,2,2,0.013,r,y,2.0191925
109,KEB_00269,269,nomia universitalis,r,7/12/2019,1,1,0.0063,l,n,1.7702125
110,KEB_00269,269,nomia universitalis,r,7/12/2019,1,2,0.0063,l,n,1.7702125
111,KEB_00269,269,nomia universitalis,r,7/12/2019,2,1,0.0063,r,n,1.7702125
112,KEB_00269,269,nomia universitalis,r,7/12/2019,2,2,0.0063,r,n,1.7702125
113,KEB_00270,270,nomia universitalis,r,7/12/2019,1,1,0.01,l,n,2.162725
114,KEB_00270,270,nomia universitalis,r,7/12/2019,1,2,0.01,l,n,2.162725
115,KEB_00270,270,nomia universitalis,r,7/12/2019,2,1,0.01,r,y,2.162725
116,KEB_00270,270,nomia universitalis,r,7/12/2019,2,2,0.01,r,y,2.162725
117,KEB_00271,271,nomia universitalis,r,7/12/2019,1,1,0.013,l,y,2.1852675
118,KEB_00271,271,nomia universitalis,r,7/12/2019,1,2,0.013,l,y,2.1852675
119,KEB_00271,271,nomia universitalis,r,7/12/2019,2,1,0.013,r,n,2.1852675
120,KEB_00271,271,nomia universitalis,r,7/12/2019,2,2,0.013,r,n,2.1852675
121,KEB_00272,272,nomia universitalis,r,7/12/2019,1,1,0.016,l,y,2.25308
122,KEB_00272,272,nomia universitalis,r,7/12/2019,1,2,0.016,l,y,2.25308
123,KEB_00272,272,nomia universitalis,r,7/12/2019,2,1,0.016,r,n,2.25308
124,KEB_00272,272,nomia universitalis,r,7/12/2019,2,2,0.016,r,n,2.25308
125,KEB_00273,273,nomia universitalis,r,7/12/2019,1,1,0.013,l,n,2.25953
126,KEB_00273,273,nomia universitalis,r,7/12/2019,1,2,0.013,l,n,2.25953
127,KEB_00273,273,nomia universitalis,r,7/12/2019,2,1,0.013,r,n,2.25953
128,KEB_00273,273,nomia universitalis,r,7/12/2019,2,2,0.013,r,n,2.25953
129,KEB_00284,284,nomia universitalis,r,7/15/2019,2,1,0.013,r,n,2.23405
130,KEB_00284,284,nomia universitalis,r,7/15/2019,2,2,0.013,r,n,2.23405
131,KEB_00288,288,nomia universitalis,r,7/15/2019,2,1,0.0063,r,y,1.646225
132,KEB_00288,288,nomia universitalis,r,7/15/2019,2,2,0.0063,r,y,1.646225
177,KEB_00423,423,nomia universitalis,r,7/19/2019,1,1,0.0063,l,y,1.7093875
178,KEB_00423,423,nomia universitalis,r,7/19/2019,1,2,0.0063,l,y,1.7093875
179,KEB_00423,423,nomia universitalis,r,7/19/2019,2,1,0.0063,r,n,1.7093875
180,KEB_00423,423,nomia universitalis,r,7/19/2019,2,2,0.0063,r,n,1.7093875
181,KEB_00434,434,nomia universitalis,r,7/19/2019,2,1,0.0063,r,n,1.533
182,KEB_00434,434,nomia universitalis,r,7/19/2019,2,2,0.0063,r,n,1.533
183,KEB_00435,435,nomia universitalis,r,7/19/2019,1,1,0.016,l,y,2.25164
184,KEB_00435,435,nomia universitalis,r,7/19/2019,1,2,0.016,l,y,2.25164
185,KEB_00435,435,nomia universitalis,r,7/19/2019,2,1,0.016,r,y,2.25164
186,KEB_00435,435,nomia universitalis,r,7/19/2019,2,2,0.016,r,y,2.25164
187,KEB_00436,436,nomia universitalis,r,7/19/2019,1,1,0.013,l,y,2.3192975
188,KEB_00436,436,nomia universitalis,r,7/19/2019,1,2,0.013,l,y,2.3192975
189,KEB_00436,436,nomia universitalis,r,7/19/2019,2,1,0.013,r,n,2.3192975
190,KEB_00436,436,nomia universitalis,r,7/19/2019,2,2,0.013,r,n,2.3192975
191,KEB_00438,438,nomia universitalis,r,7/19/2019,1,1,0.0063,l,y,1.765825
192,KEB_00438,438,nomia universitalis,r,7/19/2019,1,2,0.0063,l,y,1.765825
193,KEB_00438,438,nomia universitalis,r,7/19/2019,2,1,0.0063,r,n,1.765825
194,KEB_00438,438,nomia universitalis,r,7/19/2019,2,2,0.0063,r,n,1.765825
195,KEB_00443,443,nomia universitalis,r,7/19/2019,1,1,0.013,l,n,2.26317
196,KEB_00443,443,nomia universitalis,r,7/19/2019,1,2,0.013,l,n,2.26317
197,KEB_00443,443,nomia universitalis,r,7/19/2019,2,1,0.013,r,y,2.26317
198,KEB_00443,443,nomia universitalis,r,7/19/2019,2,2,0.013,r,y,2.26317
199,KEB_00444,444,nomia universitalis,r,7/19/2019,1,1,0.01,l,n,1.947175
200,KEB_00444,444,nomia universitalis,r,7/19/2019,1,2,0.01,l,n,1.947175
201,KEB_00444,444,nomia universitalis,r,7/19/2019,2,1,0.01,r,y,1.947175
202,KEB_00444,444,nomia universitalis,r,7/19/2019,2,2,0.01,r,y,1.947175
207,KEB_00463,463,nomia universitalis,r,7/23/2019,1,1,0.0063,l,y,1.689175
208,KEB_00463,463,nomia universitalis,r,7/23/2019,1,2,0.0063,l,y,1.689175
209,KEB_00463,463,nomia universitalis,r,7/23/2019,2,1,0.0063,r,n,1.689175
210,KEB_00463,463,nomia universitalis,r,7/23/2019,2,2,0.0063,r,n,1.689175
215,KEB_00474,474,nomia universitalis,c,7/25/2019,1,1,0.0063,l,y,1.684525
216,KEB_00474,474,nomia universitalis,c,7/25/2019,1,2,0.0063,l,y,1.684525
217,KEB_00474,474,nomia universitalis,c,7/25/2019,2,1,0.0063,r,n,1.684525
218,KEB_00474,474,nomia universitalis,c,7/25/2019,2,2,0.0063,r,n,1.684525
219,KEB_00478,478,nomia universitalis,c,7/25/2019,1,1,0.0063,l,y,1.8268375
220,KEB_00478,478,nomia universitalis,c,7/25/2019,1,2,0.0063,l,y,1.8268375
221,KEB_00478,478,nomia universitalis,c,7/25/2019,2,1,0.0063,r,n,1.8268375
222,KEB_00478,478,nomia universitalis,c,7/25/2019,2,2,0.0063,r,n,1.8268375
223,KEB_00480,480,nomia universitalis,c,7/25/2019,1,1,0.01,l,n,2.073075
224,KEB_00480,480,nomia universitalis,c,7/25/2019,1,2,0.01,l,n,2.073075
225,KEB_00480,480,nomia universitalis,c,7/25/2019,2,1,0.01,r,n,2.073075
226,KEB_00480,480,nomia universitalis,c,7/25/2019,2,2,0.01,r,n,2.073075
227,KEB_00481,481,nomia universitalis,c,7/25/2019,1,1,0.01,l,y,2.1199
228,KEB_00481,481,nomia universitalis,c,7/25/2019,1,2,0.01,l,y,2.1199
229,KEB_00481,481,nomia universitalis,c,7/25/2019,2,1,0.01,r,y,2.1199
230,KEB_00481,481,nomia universitalis,c,7/25/2019,2,2,0.01,r,y,2.1199
231,KEB_00482,482,nomia universitalis,c,7/25/2019,1,1,0.0063,l,y,1.7680125
232,KEB_00482,482,nomia universitalis,c,7/25/2019,1,2,0.0063,l,y,1.7680125
233,KEB_00482,482,nomia universitalis,c,7/25/2019,2,1,0.0063,r,n,1.7680125
234,KEB_00482,482,nomia universitalis,c,7/25/2019,2,2,0.0063,r,n,1.7680125
235,KEB_00485,485,nomia universitalis,c,7/25/2019,1,1,0.01,l,y,2.0702
236,KEB_00485,485,nomia universitalis,c,7/25/2019,1,2,0.01,l,y,2.0702
237,KEB_00485,485,nomia universitalis,c,7/25/2019,2,1,0.01,r,n,2.0702
238,KEB_00485,485,nomia universitalis,c,7/25/2019,2,2,0.01,r,n,2.0702
239,KEB_00487,487,nomia universitalis,c,7/25/2019,1,1,0.013,l,y,2.2376575
240,KEB_00487,487,nomia universitalis,c,7/25/2019,1,2,0.013,l,y,2.2376575
241,KEB_00487,487,nomia universitalis,c,7/25/2019,2,1,0.013,r,n,2.2376575
242,KEB_00487,487,nomia universitalis,c,7/25/2019,2,2,0.013,r,n,2.2376575
243,KEB_00488,488,nomia universitalis,c,7/25/2019,1,1,0.0063,l,y,1.6842
244,KEB_00488,488,nomia universitalis,c,7/25/2019,1,2,0.0063,l,y,1.6842
245,KEB_00488,488,nomia universitalis,c,7/25/2019,2,1,0.0063,r,n,1.6842
246,KEB_00488,488,nomia universitalis,c,7/25/2019,2,2,0.0063,r,n,1.6842
247,KEB_00489,489,nomia universitalis,c,7/25/2019,1,1,0.016,l,y,2.22564
248,KEB_00489,489,nomia universitalis,c,7/25/2019,1,2,0.016,l,y,2.22564
249,KEB_00489,489,nomia universitalis,c,7/25/2019,2,1,0.016,r,n,2.22564
250,KEB_00489,489,nomia universitalis,c,7/25/2019,2,2,0.016,r,n,2.22564
251,KEB_00490,490,nomia universitalis,c,7/25/2019,1,1,0.0063,l,y,1.764275
252,KEB_00490,490,nomia universitalis,c,7/25/2019,1,2,0.0063,l,y,1.764275
253,KEB_00490,490,nomia universitalis,c,7/25/2019,2,1,0.0063,r,n,1.764275
254,KEB_00490,490,nomia universitalis,c,7/25/2019,2,2,0.0063,r,n,1.764275
255,KEB_00544,544,nomia universitalis,r,7/26/2019,1,1,0.013,l,y,2.284945
256,KEB_00544,544,nomia universitalis,r,7/26/2019,1,2,0.013,l,y,2.284945
257,KEB_00544,544,nomia universitalis,r,7/26/2019,2,1,0.013,r,n,2.284945
258,KEB_00544,544,nomia universitalis,r,7/26/2019,2,2,0.013,r,n,2.284945
307,KEB_00479,479,nomia universitalis,c,7/25/2019,1,1,0.01,l,y,2.0218425
308,KEB_00479,479,nomia universitalis,c,7/25/2019,1,2,0.01,l,y,2.0218425
309,KEB_00479,479,nomia universitalis,c,7/25/2019,2,1,0.01,r,n,2.0218425
310,KEB_00479,479,nomia universitalis,c,7/25/2019,2,2,0.01,r,n,2.0218425
319,KEB_00801,801,nomia universitalis,c,8/15/2019,1,1,0.01,l,y,2.06935
320,KEB_00801,801,nomia universitalis,c,8/15/2019,1,2,0.01,l,y,2.06935
321,KEB_00801,801,nomia universitalis,c,8/15/2019,2,1,0.01,r,n,2.06935
322,KEB_00801,801,nomia universitalis,c,8/15/2019,2,2,0.01,r,n,2.06935
